City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Narsaq,GL,2022-05-04 02:32:22,60.9167,-46.05,35.82,81,96,2.98
68,Chuy,UY,2022-05-04 02:32:23,-33.6971,-53.4616,55.58,85,6,4.29
69,Beihai,CN,2022-05-04 02:32:23,21.4833,109.1,75.83,58,53,4.0
70,Gorontalo,ID,2022-05-04 02:32:24,0.5412,123.0595,87.49,67,100,3.6
71,Kayes,ML,2022-05-04 02:32:24,14.0,-11.0,88.39,34,99,4.72
72,Kodiak,US,2022-05-04 02:32:25,57.79,-152.4072,44.11,81,100,6.91
73,Kurilsk,RU,2022-05-04 02:32:25,45.2333,147.8833,38.97,94,100,5.1
74,Valparaiso,CL,2022-05-04 02:32:25,-33.0393,-71.6273,56.48,75,98,5.79
75,Bluff,NZ,2022-05-04 02:30:35,-46.6,168.3333,63.81,67,22,2.82
76,Maryville,US,2022-05-04 02:28:16,35.7565,-83.9705,73.6,71,100,10.36
77,Severo-Kurilsk,RU,2022-05-04 02:32:26,50.6789,156.125,35.37,99,100,11.07
78,Provideniya,RU,2022-05-04 02:32:27,64.3833,-173.3,19.51,68,75,13.42
79,Jamestown,US,2022-05-04 02:28:26,42.097,-79.2353,62.19,89,100,10.36
80,Ushuaia,AR,2022-05-04 02:32:27,-54.8,-68.3,38.86,70,20,6.91
81,Kruisfontein,ZA,2022-05-04 02:32:28,-34.0033,24.7314,57.99,90,0,6.06
82,Cape Town,ZA,2022-05-04 02:28:59,-33.9258,18.4232,65.91,84,1,14.0
83,Ati,TD,2022-05-04 02:32:28,13.2154,18.3353,87.87,40,69,14.16
84,Mar Del Plata,AR,2022-05-04 02:32:29,-38.0023,-57.5575,49.87,79,0,12.66
85,Yulara,AU,2022-05-04 02:32:29,-25.2406,130.9889,71.44,35,66,14.97
86,Kashary,RU,2022-05-04 02:32:30,49.04,41.0056,46.27,60,0,4.36
87,Saint-Joseph,RE,2022-05-04 02:28:06,-21.3667,55.6167,68.38,82,24,11.72
88,Grand Gaube,MU,2022-05-04 02:32:30,-20.0064,57.6608,77.4,87,33,4.0
89,Ostrovnoy,RU,2022-05-04 02:32:31,68.0531,39.5131,24.4,85,100,15.68
90,Kyra,RU,2022-05-04 02:32:31,49.5776,111.9753,55.85,42,100,11.59
91,Menongue,AO,2022-05-04 02:29:20,-14.6585,17.691,56.08,75,35,4.29
92,Khatanga,RU,2022-05-04 02:32:32,71.9667,102.5,21.38,94,100,7.85
93,Abu Samrah,SY,2022-05-04 02:33:33,35.3029,37.1841,66.33,56,13,6.02
94,Saint-Philippe,RE,2022-05-04 02:33:33,-21.3585,55.7679,69.39,84,50,12.06
95,Busselton,AU,2022-05-04 02:33:33,-33.65,115.3333,62.26,46,5,14.16
96,Elko,US,2022-05-04 02:33:34,41.0002,-115.5012,45.64,69,100,8.01
97,Galveston,US,2022-05-04 02:33:34,29.3669,-94.9669,78.94,89,0,1.99
98,Kavaratti,IN,2022-05-04 02:33:35,10.5669,72.642,85.59,68,100,9.48
99,Souillac,MU,2022-05-04 02:33:35,-20.5167,57.5167,77.38,83,75,9.22
100,Moerai,PF,2022-05-04 02:33:36,-22.4333,-151.3333,79.43,86,93,20.83
101,Cabo Rojo,PR,2022-05-04 02:33:36,18.0866,-67.1457,78.73,86,5,7.52
102,Punta Arenas,CL,2022-05-04 02:33:37,-53.15,-70.9167,41.11,86,97,24.99
103,Kupang,ID,2022-05-04 02:33:37,-10.1667,123.5833,87.73,59,90,10.58
104,Olinda,BR,2022-05-04 02:33:37,-8.0089,-34.8553,83.93,79,40,6.91
105,Chokurdakh,RU,2022-05-04 02:33:38,70.6333,147.9167,31.98,100,100,4.88
106,Puerto Ayora,EC,2022-05-04 02:33:38,-0.7393,-90.3518,71.83,90,68,5.39
107,Comodoro Rivadavia,AR,2022-05-04 02:30:01,-45.8667,-67.5,58.86,44,0,10.36
108,Mount Isa,AU,2022-05-04 02:33:39,-20.7333,139.5,83.97,28,0,6.91
109,Kropotkin,RU,2022-05-04 02:33:40,45.4375,40.5756,44.42,94,54,7.45
110,Cotonou,BJ,2022-05-04 02:33:40,6.3654,2.4183,80.46,82,100,5.75
111,Itajuipe,BR,2022-05-04 02:33:40,-14.6781,-39.375,68.02,97,91,0.89
112,Slave Lake,CA,2022-05-04 02:33:41,55.2834,-114.769,53.58,62,20,14.97
113,Port Lincoln,AU,2022-05-04 02:33:41,-34.7333,135.8667,59.65,44,66,18.37
114,Sonderso,DK,2022-05-04 02:33:42,55.4853,10.2554,41.54,84,43,3.44
115,Kavieng,PG,2022-05-04 02:33:42,-2.5744,150.7967,84.51,72,57,6.46
116,Bichena,ET,2022-05-04 02:33:43,10.45,38.2,57.47,53,81,1.34
117,Lesnoye,RU,2022-05-04 02:33:43,58.2841,35.5158,31.46,84,14,7.49
118,Nishihara,JP,2022-05-04 02:33:44,26.1842,127.7558,73.06,77,75,16.11
119,Pacific Grove,US,2022-05-04 02:33:44,36.6177,-121.9166,66.87,72,0,8.05
120,Georgetown,MY,2022-05-04 02:31:08,5.4112,100.3354,85.95,83,20,5.01
121,Tugulym,RU,2022-05-04 02:33:45,57.0591,64.6425,48.33,43,13,10.87
122,Thompson,CA,2022-05-04 02:33:45,55.7435,-97.8558,30.36,59,40,6.91
123,Ilebo,CD,2022-05-04 02:33:45,-4.3167,20.5833,70.0,96,11,1.57
124,Vaini,TO,2022-05-04 02:33:46,-21.2,-175.2,80.76,65,40,9.22
125,Mozhga,RU,2022-05-04 02:33:46,56.4447,52.2276,47.7,70,100,13.51
126,Svetlogorsk,BY,2022-05-04 02:33:47,52.6333,29.7333,39.04,75,43,9.19
127,Fortuna,US,2022-05-04 02:33:47,40.5982,-124.1573,53.92,81,99,7.0
128,Linhares,BR,2022-05-04 02:33:48,-19.3911,-40.0722,70.92,87,48,3.53
129,Chino Valley,US,2022-05-04 02:33:48,34.7575,-112.4538,70.14,22,0,13.8
130,Talnakh,RU,2022-05-04 02:33:49,69.4865,88.3972,20.21,93,100,7.07
131,Dali,CN,2022-05-04 02:33:49,25.7,100.1833,50.56,83,100,1.97
132,Kieta,PG,2022-05-04 02:33:50,-6.2167,155.6333,84.67,73,36,5.08
133,Balabac,PH,2022-05-04 02:33:50,7.9868,117.0645,85.66,70,100,7.05
134,Tukrah,LY,2022-05-04 02:33:51,32.5341,20.5791,57.15,84,0,1.99
135,Fernie,CA,2022-05-04 02:33:51,49.5,-115.0687,62.8,85,90,3.83
136,Klaksvik,FO,2022-05-04 02:33:51,62.2266,-6.589,47.32,95,100,12.77
137,Nome,US,2022-05-04 02:33:52,64.5011,-165.4064,32.16,55,0,8.05
138,Namibe,AO,2022-05-04 02:34:52,-15.1961,12.1522,77.31,66,77,2.44
139,Nikolskoye,RU,2022-05-04 02:34:53,59.7035,30.7861,35.8,93,100,7.87
140,Upernavik,GL,2022-05-04 02:34:53,72.7868,-56.1549,-1.32,99,70,4.76
141,Esperance,AU,2022-05-04 02:34:54,-33.8667,121.9,58.84,55,100,11.79
142,Flinders,AU,2022-05-04 02:34:54,-34.5833,150.8552,78.19,58,7,7.0
143,Sorland,NO,2022-05-04 02:34:55,67.667,12.6934,34.81,58,100,5.48
144,Moose Factory,CA,2022-05-04 02:34:55,51.2585,-80.6094,31.98,80,100,5.75
145,Havre-Saint-Pierre,CA,2022-05-04 02:34:56,50.2334,-63.5986,35.6,93,0,3.44
146,Inta,RU,2022-05-04 02:34:56,66.0317,60.1659,35.98,96,100,11.21
147,Hay River,CA,2022-05-04 02:30:08,60.8156,-115.7999,46.38,53,75,16.11
148,Huarmey,PE,2022-05-04 02:34:57,-10.0681,-78.1522,65.34,87,10,4.9
149,Humberto De Campos,BR,2022-05-04 02:34:57,-2.5983,-43.4611,75.65,94,100,3.49
150,Dhidhdhoo,MV,2022-05-04 02:34:57,6.8833,73.1,85.96,66,95,12.8
151,Rocha,UY,2022-05-04 02:34:58,-34.4833,-54.3333,50.0,87,0,2.13
152,Palpa,PE,2022-05-04 02:34:58,-14.5336,-75.1856,70.66,69,2,0.98
153,Chipinge,ZW,2022-05-04 02:34:59,-20.1883,32.6236,53.89,94,100,1.74
154,Kisangani,CD,2022-05-04 02:34:59,0.5167,25.2,69.37,99,93,1.63
155,Lorengau,PG,2022-05-04 02:35:00,-2.0226,147.2712,83.97,76,62,4.27
156,Srednekolymsk,RU,2022-05-04 02:35:00,67.45,153.6833,34.86,97,100,6.11
157,Bambous Virieux,MU,2022-05-04 02:35:01,-20.3428,57.7575,77.25,83,75,9.22
158,Mahebourg,MU,2022-05-04 02:35:01,-20.4081,57.7,77.29,83,75,9.22
159,Trelew,AR,2022-05-04 02:35:02,-43.249,-65.3051,61.47,47,100,11.52
160,Tiksi,RU,2022-05-04 02:35:02,71.6872,128.8694,19.72,78,7,2.91
161,Dikson,RU,2022-05-04 02:35:03,73.5069,80.5464,9.5,91,21,4.21
162,Kyshtovka,RU,2022-05-04 02:35:03,56.555,76.6271,45.73,46,0,1.83
163,Haines Junction,CA,2022-05-04 02:35:03,60.7522,-137.5108,46.35,46,100,9.22
164,Viedma,AR,2022-05-04 02:35:04,-40.8135,-62.9967,58.03,44,48,10.56
165,Wakefield,GB,2022-05-04 02:35:05,53.6809,-1.499,52.63,90,100,2.86
166,Dakar,SN,2022-05-04 02:35:05,14.6937,-17.4441,68.13,94,40,4.61
167,Tauranga,NZ,2022-05-04 02:33:43,-37.6861,176.1667,68.95,38,97,5.84
168,Belmonte,BR,2022-05-04 02:35:06,-15.8631,-38.8828,74.66,85,6,3.65
169,Inuvik,CA,2022-05-04 02:35:06,68.3499,-133.7218,29.26,83,100,11.5
170,Santo Anastacio,BR,2022-05-04 02:35:06,-21.8383,-51.6103,64.76,92,100,13.22
171,Yellowknife,CA,2022-05-04 02:35:07,62.456,-114.3525,45.12,49,20,18.41
172,Nemuro,JP,2022-05-04 02:34:32,43.3236,145.575,43.29,82,100,21.56
173,Norman Wells,CA,2022-05-04 02:35:07,65.282,-126.8329,59.04,38,75,12.66
174,Tamalin,MX,2022-05-04 02:35:08,21.35,-97.8,76.73,93,60,5.26
175,Beringovskiy,RU,2022-05-04 02:35:08,63.05,179.3167,26.89,74,16,11.39
176,Karpathos,GR,2022-05-04 02:35:09,35.507,27.2132,60.76,77,32,25.32
177,Oneida,US,2022-05-04 02:35:09,43.2001,-75.4663,61.95,74,100,10.36
178,Teguise,ES,2022-05-04 02:35:10,29.0605,-13.564,59.22,67,0,11.5
179,Shitanjing,CN,2022-05-04 02:35:10,39.2342,106.3439,78.73,5,41,16.02
180,Mulchen,CL,2022-05-04 02:35:11,-37.7167,-72.2333,53.06,84,100,7.85
181,Hamamatsu,JP,2022-05-04 02:30:17,34.7,137.7333,75.0,39,10,13.0
182,Pangody,RU,2022-05-04 02:35:11,65.85,74.4859,33.66,92,100,19.35
183,Muisne,EC,2022-05-04 02:35:12,0.6,-80.0333,77.02,88,94,11.41
184,Lindi,TZ,2022-05-04 02:36:12,-10.0,39.7167,68.54,94,63,5.41
185,East London,ZA,2022-05-04 02:36:13,-33.0153,27.9116,65.39,57,98,3.51
186,Rio Grande,BR,2022-05-04 02:36:13,-32.035,-52.0986,60.94,81,98,15.7
187,Praya,CV,2022-05-04 02:36:14,14.9215,-23.5087,70.34,73,0,11.5
188,Adrar,MR,2022-05-04 02:36:14,20.5022,-10.0711,77.4,18,62,10.11
189,Arraial Do Cabo,BR,2022-05-04 02:33:30,-22.9661,-42.0278,75.43,85,2,19.19
190,Yaan,NG,2022-05-04 02:36:15,7.3833,8.5667,77.76,82,100,9.24
191,Torbay,CA,2022-05-04 02:36:15,47.6666,-52.7314,40.28,92,100,12.66
192,Faanui,PF,2022-05-04 02:36:15,-16.4833,-151.75,82.04,73,32,12.26
193,Ribeira Grande,PT,2022-05-04 02:36:16,38.5167,-28.7,62.33,88,38,10.83
194,Savage,US,2022-05-04 02:35:01,44.7791,-93.3363,53.98,54,0,6.91
195,Kysyl-Syr,RU,2022-05-04 02:36:16,63.8986,122.7617,34.66,77,100,12.26
196,Mbaiki,CF,2022-05-04 02:36:17,3.8678,17.9892,68.23,94,100,0.56
197,Bibiani,GH,2022-05-04 02:36:17,6.4635,-2.3194,72.59,99,91,1.28
198,Tuatapere,NZ,2022-05-04 02:36:18,-46.1333,167.6833,63.32,63,22,1.66
199,Hovd,MN,2022-05-04 02:36:18,48.0056,91.6419,56.97,41,40,7.49
200,Komsomolskiy,UZ,2022-05-04 02:36:19,40.4272,71.7189,72.32,53,100,13.8
201,Teya,RU,2022-05-04 02:36:20,60.3778,92.6267,34.09,81,100,9.51
202,San Quintin,MX,2022-05-04 02:36:20,30.4833,-115.95,57.54,79,18,8.52
203,Amberieu-En-Bugey,FR,2022-05-04 02:36:20,45.9589,5.3432,53.58,93,21,3.18
204,Kushima,JP,2022-05-04 02:31:41,31.4583,131.2333,70.66,49,100,6.55
205,Barsovo,RU,2022-05-04 02:36:21,61.1667,73.1667,41.13,56,54,16.78
206,Pachino,IT,2022-05-04 02:36:22,36.7186,15.0907,58.23,70,41,3.53
207,Acapulco,MX,2022-05-04 02:36:15,16.8634,-99.8901,80.42,74,75,6.91
208,Aban,RU,2022-05-04 02:36:23,56.67,96.06,37.74,82,100,8.34
209,Orodara,BF,2022-05-04 02:36:23,10.9492,-4.9342,79.9,52,97,6.6
210,Sao Felix Do Xingu,BR,2022-05-04 02:36:24,-6.6447,-51.995,74.35,87,97,1.77
211,Dharchula,IN,2022-05-04 02:36:24,29.85,80.5333,76.46,56,21,5.08
212,Pochutla,MX,2022-05-04 02:36:25,15.7432,-96.4661,82.81,66,93,6.64
213,Rio Verde De Mato Grosso,BR,2022-05-04 02:36:25,-18.9181,-54.8442,62.19,96,100,8.86
214,Tapikan,PH,2022-05-04 02:36:26,6.8519,124.3225,83.39,65,87,3.8
215,Lompoc,US,2022-05-04 02:32:38,34.6391,-120.4579,66.34,71,0,32.01
216,Bredasdorp,ZA,2022-05-04 02:36:26,-34.5322,20.0403,58.24,98,31,2.17
217,Ilulissat,GL,2022-05-04 02:36:27,69.2167,-51.1,26.62,80,100,5.75
218,Ambulu,ID,2022-05-04 02:36:27,-8.345,113.6058,85.69,69,100,4.27
219,Pevek,RU,2022-05-04 02:36:28,69.7008,170.3133,26.94,79,56,4.54
220,Hermagor,AT,2022-05-04 02:36:28,46.6272,13.3672,48.33,91,26,2.53
221,Tasiilaq,GL,2022-05-04 02:36:29,65.6145,-37.6368,23.16,92,100,5.75
222,Tabas,IR,2022-05-04 02:36:29,33.5959,56.9244,64.62,42,2,4.61
223,Udalguri,IN,2022-05-04 02:36:29,26.7667,92.1333,75.83,75,93,12.64
224,Pombia,IT,2022-05-04 02:36:30,45.653,8.6336,57.56,81,75,2.3
225,Puerto Cabello,VE,2022-05-04 02:36:30,10.4731,-68.0125,78.84,87,63,13.96
226,Aquiraz,BR,2022-05-04 02:36:31,-3.9014,-38.3911,83.17,90,58,11.03
227,Gat,IL,2022-05-04 02:37:31,31.61,34.7642,66.88,100,66,12.37
228,Coquimbo,CL,2022-05-04 02:37:32,-29.9533,-71.3436,53.33,100,100,0.0
229,Petropavlovsk-Kamchatskiy,RU,2022-05-04 02:37:33,53.0452,158.6483,39.79,60,75,6.71
230,Paamiut,GL,2022-05-04 02:37:33,61.994,-49.6678,25.93,83,97,12.62
231,Sao Filipe,CV,2022-05-04 02:37:34,14.8961,-24.4956,70.95,82,13,3.76
232,Maymyo,MM,2022-05-04 02:37:34,22.0333,96.4667,69.96,75,97,1.45
233,Smithers,CA,2022-05-04 02:35:07,54.7804,-127.1743,50.32,53,100,12.66
234,Kitgum,UG,2022-05-04 02:37:35,3.2783,32.8867,64.87,96,14,2.44
235,Cim,BA,2022-05-04 02:37:35,43.3528,17.7772,43.52,87,40,2.3
236,Port Elizabeth,ZA,2022-05-04 02:33:25,-33.918,25.5701,64.69,94,0,10.36
237,Nyurba,RU,2022-05-04 02:37:36,63.2842,118.3319,35.06,83,100,11.05
238,Naze,JP,2022-05-04 02:37:36,28.3667,129.4833,72.52,59,100,13.38
239,Micheweni,TZ,2022-05-04 02:37:37,-4.9667,39.8333,77.76,84,95,15.28
240,Nizhneangarsk,RU,2022-05-04 02:37:37,55.7833,109.55,34.0,80,99,4.03
241,Bethel,US,2022-05-04 02:37:38,41.3712,-73.414,52.16,84,100,6.91
242,Atikokan,CA,2022-05-04 02:37:38,48.7555,-91.6216,27.32,99,25,3.33
243,Steinbach,DE,2022-05-04 02:37:39,50.1667,8.5667,54.99,62,0,6.91
244,Tilichiki,RU,2022-05-04 02:37:39,60.4667,166.1,31.14,95,18,5.12
245,Leshukonskoye,RU,2022-05-04 02:33:09,64.8989,45.7622,29.16,92,100,8.75
246,Litovko,RU,2022-05-04 02:37:40,49.2361,135.1742,51.13,46,27,11.43
