City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Atuona,PF,-9.8,-139.0333,79.03,69,24,20.13,few clouds
80,Ponta Do Sol,PT,32.6667,-17.1,68.13,47,0,3.83,clear sky
81,Shelburne,CA,44.0787,-80.2041,59.45,41,27,8.48,scattered clouds
82,Kaeo,NZ,-35.1,173.7833,66.33,62,0,9.22,clear sky
83,Souillac,MU,-20.5167,57.5167,71.98,94,20,4.61,few clouds
84,Chuy,UY,-33.6971,-53.4616,59.14,93,100,7.99,light rain
85,Tevriz,RU,57.509,72.4042,54.63,38,100,9.6,overcast clouds
86,North Bend,US,43.4065,-124.2243,56.25,78,20,10.36,few clouds
87,Port Alfred,ZA,-33.5906,26.891,64.18,89,6,5.99,clear sky
88,Zyryanka,RU,65.75,150.85,28.38,92,100,11.68,light snow
89,East London,ZA,-33.0153,27.9116,68.04,50,45,19.24,scattered clouds
90,Chokurdakh,RU,70.6333,147.9167,16.11,90,97,8.3,overcast clouds
91,Hervey Bay,AU,-25.2986,152.8535,74.01,89,100,4.0,moderate rain
92,Port Macquarie,AU,-31.4333,152.9167,66.88,64,100,10.54,overcast clouds
93,Leningradskiy,RU,69.3833,178.4167,35.01,95,11,4.56,few clouds
94,Marsh Harbour,BS,26.5412,-77.0636,73.42,64,96,16.71,overcast clouds
95,Waingapu,ID,-9.6567,120.2641,83.64,59,100,6.64,overcast clouds
96,Anadyr,RU,64.75,177.4833,45.1,70,20,8.95,few clouds
97,Hilo,US,19.7297,-155.09,81.28,74,40,12.66,scattered clouds
98,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,78,97,8.05,overcast clouds
99,Yarim,YE,14.298,44.3779,57.85,51,0,2.42,clear sky
100,Qingdao,CN,36.0986,120.3719,65.8,59,0,4.47,clear sky
101,Verkhnyaya Inta,RU,65.9811,60.3094,35.85,79,24,4.27,few clouds
102,Hami,CN,42.8,93.45,73.45,7,32,5.66,scattered clouds
103,Yambio,SS,4.5721,28.3955,68.02,98,100,4.27,overcast clouds
104,Kargat,RU,55.1956,80.2811,48.99,35,72,13.06,broken clouds
105,Esperance,AU,-33.8667,121.9,68.61,34,85,14.79,overcast clouds
106,Saldanha,ZA,-33.0117,17.9442,55.45,93,60,3.06,broken clouds
107,Kudahuvadhoo,MV,2.6708,72.8944,84.27,76,99,17.25,overcast clouds
108,Ust-Nera,RU,64.5667,143.2,32.68,96,100,4.68,light snow
109,Muromtsevo,RU,56.3724,75.2418,54.12,33,100,10.98,overcast clouds
110,Luba,GQ,3.4568,8.5547,75.09,83,100,3.18,overcast clouds
111,Christchurch,NZ,-43.5333,172.6333,60.42,57,5,3.44,clear sky
112,Lishui,CN,28.4604,119.9103,67.98,98,100,2.51,overcast clouds
113,Kodiak,US,57.79,-152.4072,47.71,34,0,18.41,clear sky
114,Rocha,UY,-34.4833,-54.3333,58.55,87,100,7.78,overcast clouds
115,Nikolskoye,RU,59.7035,30.7861,44.49,76,64,5.53,broken clouds
116,Camacha,PT,33.0833,-16.3333,62.02,88,40,9.22,scattered clouds
117,Charyshskoye,RU,51.3978,83.5598,52.23,39,67,4.9,broken clouds
118,Newport,GB,51.5877,-2.9984,55.63,84,99,1.01,light rain
119,Liuzhou,CN,24.3126,109.3892,72.03,83,100,6.64,overcast clouds
120,Ramon,PH,16.7842,121.535,87.75,54,3,3.78,clear sky
121,Tautira,PF,-17.7333,-149.15,81.16,75,53,15.46,broken clouds
122,Kaitangata,NZ,-46.2817,169.8464,56.55,60,17,7.38,few clouds
123,Georgetown,MY,5.4112,100.3354,82.33,78,40,4.61,scattered clouds
124,Lavrentiya,RU,65.5833,-171.0,33.55,97,69,6.44,broken clouds
125,Kashi,CN,39.4547,75.9797,79.81,18,20,11.18,few clouds
126,Samana,DO,19.2056,-69.3369,76.12,87,90,5.77,overcast clouds
127,Butaritari,KI,3.0707,172.7902,81.28,72,10,14.03,clear sky
128,Sao Joao Da Barra,BR,-21.6403,-41.0511,68.54,93,5,6.33,clear sky
129,Seoul,KR,37.5683,126.9778,72.79,37,0,9.22,clear sky
130,Abu Zabad,SD,12.35,29.25,82.04,14,58,3.94,broken clouds
131,Tiksi,RU,71.6872,128.8694,24.17,80,20,7.29,few clouds
132,Quatre Cocos,MU,-20.2078,57.7625,75.09,79,85,9.04,overcast clouds
133,Paracuru,BR,-3.41,-39.0306,77.11,83,96,3.06,overcast clouds
134,Puerto Baquerizo Moreno,EC,-0.9,-89.6,71.87,87,17,8.9,few clouds
135,Gornopravdinsk,RU,60.05,69.9,55.8,56,100,8.3,overcast clouds
136,Omsukchan,RU,62.5333,155.8,32.4,99,100,10.36,overcast clouds
137,Grand Forks,US,47.9417,-97.4337,58.93,55,0,5.75,clear sky
